qid;property;rank;snaktype;value_raw;value_year;value_label;value_desc;qid_label;qid_desc
Q1405;P373;normal;value;Augustus;;;;Augustus;first emperor of the Roman Empire and founder of the Julio-Claudian dynasty
Q1405;P26;normal;value;Q237618;;Claudia;1st-century BC Roman woman, briefly wife of Octavian;Augustus;first emperor of the Roman Empire and founder of the Julio-Claudian dynasty
Q1405;P26;normal;value;Q233444;;Scribonia;Roman noblewoman, second wife of Augustus and mother of Julia the Elder;Augustus;first emperor of the Roman Empire and founder of the Julio-Claudian dynasty
Q1405;P26;normal;value;Q469701;;Livia;first Roman empress as consort to Augustus, as well as mother of emperor Tiberius;Augustus;first emperor of the Roman Empire and founder of the Julio-Claudian dynasty
Q1405;P40;normal;value;Q2259;;Julia the Elder;daughter of Emperor Augustus (39 BC – AD 14);Augustus;first emperor of the Roman Empire and founder of the Julio-Claudian dynasty
Q1405;P40;normal;value;Q298162;;Gaius Caesar;eldest son of Marcus Vipsanius Agrippa and Julia the Elder, Emperor Augustus' only daughter, also adopted by Augustus as his own child;Augustus;first emperor of the Roman Empire and founder of the Julio-Claudian dynasty
Q1405;P40;normal;value;Q313735;;Lucius Caesar;grandson of emperor Augustus (17 BC - AD 2);Augustus;first emperor of the Roman Empire and founder of the Julio-Claudian dynasty
Q1405;P40;normal;value;Q1407;;Tiberius;second Roman emperor (42 BC - AD 37) (r. AD 14–AD 37);Augustus;first emperor of the Roman Empire and founder of the Julio-Claudian dynasty
Q1405;P40;normal;value;Q325906;;Agrippa Postumus;Youngest son of Marcus Agrippa and Julia the Elder (12 BC – AD 14);Augustus;first emperor of the Roman Empire and founder of the Julio-Claudian dynasty
Q1405;P25;normal;value;Q231696;;Atia;mother of Roman emperor Augustus;Augustus;first emperor of the Roman Empire and founder of the Julio-Claudian dynasty
Q1405;P22;preferred;value;Q363084;;Gaius Octavius;father of emperor Augustus. Roman general, praetor in 61 BC, praefectus propraetor in Macedonia in 60-59 BC;Augustus;first emperor of the Roman Empire and founder of the Julio-Claudian dynasty
Q1405;P22;normal;value;Q1048;;;Roman general and dictator;Augustus;first emperor of the Roman Empire and founder of the Julio-Claudian dynasty
Q1405;P39;normal;value;Q842606;;Roman emperor;ruler of the Roman Empire during the imperial period;Augustus;first emperor of the Roman Empire and founder of the Julio-Claudian dynasty
Q1405;P39;normal;value;Q212943;;pontifex maximus;"the chief high priest of the College of Pontiffs in ancient Rome, open only to patricians until 254 BCE, when a plebeian first occupied this post; gradually became politicized until, beginning with Augustus, it was subsumed into the Imperial office";Augustus;first emperor of the Roman Empire and founder of the Julio-Claudian dynasty
Q1405;P39;normal;value;Q189851;;Roman censor;Roman magistrate responsible for the census and monitoring public morality;Augustus;first emperor of the Roman Empire and founder of the Julio-Claudian dynasty
Q1405;P39;normal;value;Q190401;;tribune;elected Roman officials;Augustus;first emperor of the Roman Empire and founder of the Julio-Claudian dynasty
Q1405;P39;normal;value;Q20056508;;ancient Roman senator;position;Augustus;first emperor of the Roman Empire and founder of the Julio-Claudian dynasty
Q1405;P39;normal;value;Q40779;;Roman consul;political office in ancient Rome;Augustus;first emperor of the Roman Empire and founder of the Julio-Claudian dynasty
