qid,n_statements,n_sitelinks
Q1000386,10,5
Q1001060,9,5
Q100152074,8,1
Q10022741,3,2
Q1002360,11,8
Q10028353,5,4
Q100292568,7,2
Q10058352,2,1
Q100717953,6,2
Q100975136,3,6
Q101071804,18,0
Q101204269,1,0
Q1013031,5,8
Q10133,232,94
Q101363532,3,0
Q101473815,17,0
Q101475167,20,0
Q101493475,1,1
Q101493541,1,2
Q101493649,1,1
Q101539110,1,1
Q101576666,2,2
Q1017629,10,4
Q102076242,26,0
Q102077287,1,2
Q102113163,17,0
Q102148392,16,0
Q102360156,11,3
Q102363397,4,0
Q102423748,23,1
Q102443746,18,0
Q102449495,17,0
Q1025474,6,2
Q102561,100,81
Q1025854,3,1
Q10259845,1,1
Q1026025,14,2
Q1026278,4,3
Q1026422,8,7
Q10265000,12,10
Q10265001,5,2
Q10268177,4,1
Q10273658,10,3
Q1027389,5,8
Q1027390,23,6
Q1027458,10,3
Q1027460,13,3
Q10276641,2,1
Q10278917,5,2
Q1027992,2,1
Q1028637,19,8
Q10288712,6,5
Q10289661,6,1
Q1029600,10,8
Q10296096,2,1
Q10299241,4,1
Q10299604,3,6
Q1030030,13,8
Q10304725,5,1
Q10305658,17,8
Q103077696,21,0
Q10308667,16,3
Q10311233,1,2
Q10314389,3,1
Q10315127,2,1
Q10316761,32,4
Q1031761,13,11
Q10317929,6,3
Q10317982,7,2
Q103200682,16,0
Q1032278,22,11
Q10323051,11,4
Q10323875,9,4
Q103246773,12,0
Q10325341,22,10
Q10326261,11,3
Q1032689,31,14
Q10328655,3,1
Q10330161,6,1
Q1033173,27,15
Q10332187,3,1
Q10332211,3,1
Q10333344,21,5
Q10340366,4,1
Q1034103,28,16
Q1034555,5,1
Q10350754,14,14
Q10350845,6,3
Q1035330,6,4
Q10353741,6,3
Q10355387,13,2
Q10355751,12,1
Q10357159,21,2
Q10363660,6,0
Q10367614,2,2
Q10372951,3,2
Q10379427,10,1
Q10380878,13,4
Q103824561,23,0
Q10384695,3,2
Q10385263,3,1
Q10385692,2,2
Q1039225,3,6
Q10394064,1,1
Q10396614,2,1
Q103968,77,64
Q103975,84,57
Q103992,79,58
Q10399416,12,7
Q104002,78,57
Q104012,67,52
Q10402297,3,2
Q10403210,3,2
Q10404083,9,4
Q104042,82,56
Q104089845,15,2
Q10414226,2,1
Q10416270,8,3
Q104163113,20,1
Q10416898,1,1
Q10418114,2,1
Q10418531,1,1
Q10419779,9,3
Q10419837,12,2
Q10420712,9,5
Q104212740,24,0
Q104215834,2,1
Q10425746,2,1
Q10425910,3,3
Q10429507,2,1
Q10430507,3,3
Q10432631,2,1
Q1043413,26,25
Q10435923,2,1
Q10436013,12,4
Q10438408,3,1
Q10439362,3,2
Q104413,71,55
Q10442385,2,1
Q104425,62,53
Q10442727,2,1
Q10447214,29,4
Q1044816,15,1
Q10448302,2,1
Q10449206,2,9
Q10449938,3,7
Q10450017,2,1
Q10450930,3,1
Q10450967,2,1
Q1045153,9,9
Q104523981,3,0
Q1045730,43,26
Q1046149,9,8
Q10463524,4,1
Q10466408,4,5
Q10467877,3,2
Q104698689,6,1
Q1047047,20,18
Q10474808,3,1
Q1047689,45,10
Q10476970,1,1
Q104777718,2,0
Q10477969,2,1
Q104790915,11,0
Q1047995,25,12
Q1048,439,279
Q10480277,7,4
Q10483170,3,1
Q10484058,3,1
Q1048408,24,1
Q104842104,7,1
Q104860497,6,4
Q10487485,6,2
Q104891314,10,5
Q1049225,85,17
Q10494059,2,1
Q10500058,2,4
Q105023108,2,0
Q105023109,2,0
Q105023111,2,0
Q105023112,2,0
Q105023113,2,0
Q105023114,2,0
Q105023115,2,0
Q105023116,2,0
Q105023118,2,0
Q105023119,2,0
Q105023120,2,0
Q105023121,2,0
Q105023122,2,0
Q105023123,2,0
Q105023124,2,0
Q105023127,2,0
Q105023128,2,0
Q105023130,2,0
Q105023132,2,0
Q105023133,2,0
Q105023135,2,0
Q105023136,2,0
Q105023138,2,0
Q105023141,2,0
Q105023142,2,0
Q105023143,2,0
Q105023144,2,0
Q105023145,2,0
Q105023148,2,0
Q105023154,2,0
Q105023497,2,0
Q10503392,2,1
Q10503469,2,1
Q1050414,29,14
Q10505533,3,1
Q105080557,7,3
Q105104239,6,0
Q1051640,11,13
Q10517250,4,1
Q10522247,2,1
Q10522424,9,5
Q105226882,5,1
Q10526774,1,1
Q1052757,16,20
Q10527935,13,6
Q1052877,34,23
Q1052888,44,28
Q1053177,23,4
Q1053307,12,30
Q105335595,9,0
Q10534649,4,1
Q10534686,9,6
Q1053754,26,6
Q105393831,3,1
Q10540664,11,2
Q105412604,11,3
Q105452,110,49
Q10545254,2,1
Q10545746,1,1
Q10546950,12,3
Q10548629,4,1
Q10549744,3,1
Q10549893,1,1
Q10550151,1,1
Q105504462,8,0
Q105508494,8,0
Q105540644,2,1
Q105540754,3,1
Q105540763,3,2
Q1055487,3,7
Q10555452,3,1
Q1055822,11,6
Q105610679,12,0
Q1056143,22,29
Q10561622,1,1
Q105626153,8,0
Q10563679,2,3
Q10564195,2,2
Q10565442,6,4
Q10566535,25,10
Q10566608,20,2
Q10566962,16,2
Q10567141,2,1
Q10567265,23,8
Q105675082,6,0
Q10568251,8,5
Q105686251,3,1
Q105686593,3,1
Q1056876,20,30
Q105703685,3,1
Q105703687,4,1
Q105703798,3,1
Q105704017,2,1
Q105720714,7,1
Q105720737,3,1
Q105720836,9,1
Q105728115,6,0
Q105728121,8,0
Q105729393,5,1
Q105729945,4,1
Q105730048,2,1
Q1057384,27,25
Q1057415,12,2
Q1057425,22,3
Q10575173,2,2
Q105752840,7,3
Q10575420,3,1
Q10575455,1,1
Q10575751,3,1
Q105771118,7,0
Q105772859,8,1
Q105772874,4,1
Q105772967,1,1
Q105773029,8,1
Q105773031,6,1
Q105773220,1,1
Q105773233,3,4
Q10577895,4,1
Q105805413,2,1
Q105805417,5,1
Q105805502,2,2
Q105805766,3,1
Q105805848,4,1
Q105806160,2,1
Q105814934,7,1
Q105820630,2,1
Q105821065,3,4
Q10583099,7,2
Q105856539,7,8
Q105870535,18,0
Q105870746,20,0
Q105882495,8,1
Q10588858,3,1
Q10590032,2,4
Q10590371,2,1
Q10590499,1,1
Q10594058,4,1
Q1059487,6,4
Q105952557,7,0
Q105954740,9,0
Q105972986,8,0
Q105973241,7,1
Q105973988,6,0
Q105974115,7,0
Q105974182,7,0
Q105974222,6,0
Q105975176,13,0
Q1059784,13,5
Q1059810,6,7
Q10599293,1,1
Q10600417,4,1
Q10600864,9,1
Q10601477,3,1
Q1060267,19,18
Q10605007,3,1
Q106076553,7,1
Q106076725,6,1
Q106079915,7,1
Q106079953,9,3
Q106091021,2,1
Q106091023,6,1
Q106091113,4,1
Q106092358,8,0
Q106103576,4,1
Q1061204,4,7
Q1061212,4,8
Q10613643,3,1
Q10614603,3,1
Q10615133,3,1
Q1061554,22,24
Q1061747,21,23
Q1061782,43,26
Q106212178,10,0
Q10621242,4,1
Q10621766,1,1
Q106218908,5,2
Q1062299,28,22
Q10624134,10,5
Q106242114,2,1
Q106246876,2,1
Q106253142,6,0
Q106255030,8,0
Q106255196,6,0
Q106255239,7,0
Q106255478,7,0
Q106258606,8,1
Q106262972,7,1
Q1062720,15,9
Q106305934,7,0
Q106310988,13,4
Q106310989,15,3
Q106312146,8,0
Q1063170,4,2
Q1063189,9,5
Q1063193,5,3
Q106322045,4,1
Q10632357,7,5
Q106345251,9,0
Q106346029,8,0
Q106364776,13,2
Q106371669,2,2
Q106371676,4,1
Q106371734,12,3
Q10638048,1,1
Q106399226,5,1
Q106405710,7,1
Q1064059,57,26
Q106406443,6,2
Q106411176,7,0
Q106411178,5,4
Q106411249,6,1
Q106411342,7,0
Q106413024,9,0
Q106446748,9,0
Q106447929,2,1
Q106448330,7,1
Q106448339,5,2
Q1064555,21,35
Q106461691,7,0
Q106462936,6,0
Q10646518,1,3
Q106468209,2,1
Q10646824,3,1
Q106471131,11,0
Q10647986,1,1
Q106483487,2,1
Q106483495,5,1
Q106483511,2,1
Q106483570,3,1
Q106483955,2,1
Q1065105,13,28
Q106510581,4,1
Q106514537,8,2
Q106518547,8,0
Q106519417,9,0
Q106521034,8,0
Q106521644,4,1
Q106521683,2,1
Q106521685,3,1
Q106521686,4,1
Q106521700,4,1
Q106522384,9,0
Q1065234,12,20
Q106538166,1,1
Q106541037,12,0
Q106541051,7,0
Q106541771,9,0
Q1065492,13,6
Q106560475,9,0
Q10657176,4,2
Q1065774,21,31
Q106577985,3,1
Q106578062,3,2
Q106584309,6,0
Q106589917,1,2
Q106593206,6,0
Q106595231,9,0
Q106597364,2,2
Q106597389,2,1
Q106597967,3,2
Q106601515,8,0
Q106616114,8,0
Q106616231,4,2
Q106616246,4,1
Q106619538,8,0
Q106624735,8,0
Q106624763,7,0
Q106630026,5,2
Q106632780,10,0
Q106634143,9,0
Q1066344,21,12
Q106638723,4,1
Q106642926,3,2
Q10665160,3,1
Q106669988,2,2
Q106669994,2,2
Q10667174,1,1
Q106707265,4,3
Q106766696,4,5
Q1067669,4,1
Q1067671,9,3
Q106778666,7,0
Q106779178,9,0
Q106779267,7,1
Q106779384,8,0
Q106779439,7,0
Q106784276,7,0
Q106795072,2,2
Q106795455,2,1
Q106795677,2,1
Q106799694,9,0
Q106800538,7,0
Q106802838,8,0
Q106803123,9,0
Q106803870,6,0
Q106804079,9,0
Q106808293,2,2
Q106841902,7,0
Q106866411,2,1
Q106866413,2,1
Q106866423,6,1
Q106866479,2,1
Q106866489,2,1
Q106866492,2,1
Q106866753,4,2
Q106873511,9,0
Q106873557,6,0
Q106874608,8,0
Q106874628,5,0
Q106874739,8,0
Q106879620,8,0
Q106879627,9,0
Q106879751,3,1
Q106879762,11,0
Q106879769,3,1
Q106879772,3,1
Q106879801,4,1
Q106879803,3,2
Q106879820,6,1
Q106879821,4,1
Q106879981,7,0
Q106880009,7,0
Q10688196,1,1
Q106884789,5,0
Q106884874,5,0
Q106889991,7,0
Q10690019,2,1
Q10690710,2,1
Q106920819,6,0
Q106922722,7,0
Q106922918,7,1
Q106923031,8,1
Q10694593,5,1
Q106946413,2,1
Q106946423,2,1
Q106946452,2,1
Q106957908,5,1
Q106968295,3,1
Q106968377,4,2
Q10696881,3,1
Q10697036,2,1
Q106974795,1,0
Q1069769,14,18
Q10697849,2,1
Q1069792,11,6
Q106981837,2,1
Q106981840,2,1
Q106981841,2,1
Q106981843,2,1
Q106981846,4,1
Q106981847,3,1
Q106981850,2,1
Q106981852,2,1
Q106981858,2,1
Q106981859,2,1
Q106981860,2,1
Q106981861,2,1
Q106981862,3,1
Q106981977,4,2
Q106982004,2,1
Q10698630,2,2
Q10699178,4,1
Q10700071,2,1
Q107007184,3,2
Q107031014,7,1
Q107031138,7,1
Q107031162,7,1
Q107040596,8,0
Q10705738,2,1
Q10705750,2,1
Q10706682,3,1
Q107071355,2,1
Q107071621,7,0
Q10707898,2,1
Q107096618,13,0
Q107096815,12,0
Q107097291,9,0
Q107102250,6,1
Q107102284,6,1
Q107102289,7,1
Q107144058,6,1
Q107144062,6,1
Q107144064,2,1
Q107144067,6,1
Q107144068,7,1
Q107144069,2,1
Q107144071,6,1
Q107144072,6,1
Q107144073,7,1
Q107144074,7,1
Q107144076,2,1
Q107144078,7,1
Q107144081,6,1
Q107144089,7,1
Q10715158,18,6
Q107157783,13,2
Q10716088,1,1
Q10716533,2,1
Q107174955,2,1
Q107175008,6,1
Q107176150,2,2
Q107176172,6,2
Q1071946,24,22
Q10720412,4,1
Q10720419,2,1
Q10720654,2,1
Q10721972,6,1
Q1072266,8,2
Q107227184,4,3
Q10722960,3,2
Q10723485,1,1
Q107240488,2,1
Q107240645,2,3
Q107240684,2,1
Q107240687,2,1
Q107240690,2,1
Q107240697,2,1
Q107240758,2,1
Q107240856,2,1
Q107240917,2,2
Q107240921,2,1
Q107240922,5,1
Q107240924,5,1
Q107240926,2,1
Q107240931,5,1
Q107240932,2,1
Q107240934,5,1
Q107240938,2,1
Q107240941,6,2
Q107240944,5,1
Q107240947,5,1
Q107240949,4,1
Q107240951,5,1
Q107240972,2,1
Q107240981,6,1
Q107240991,2,1
Q107240999,2,4
Q107241052,2,1
Q107241093,6,1
Q10724591,2,1
Q10724705,4,1
Q1072573,17,14
Q10729101,3,1
Q107292100,2,2
Q107292102,2,2
Q10729631,8,6
Q107299127,4,3
Q107299186,8,4
Q107302697,1,0
Q107304147,7,1
Q107305738,8,0
Q107305785,8,0
Q107305800,7,0
Q107305829,7,0
Q107315501,8,0
Q107315591,5,0
Q107325030,10,5
Q107328651,4,5
Q107332929,5,0
Q107336165,5,9
Q107337237,2,9
Q107340575,4,0
Q107388338,7,0
Q107389124,9,0
Q107389661,5,0
Q107389778,5,0
Q107389789,7,0
Q107392615,6,0
Q107395614,16,0
Q107410136,3,1
Q107410227,2,1
Q107410270,2,1
Q107422860,16,0
